id,team,pos,player
1,Hawks,SG,K. Huerter
2,Hawks,SF,D. Hunter
3,Hawks,PF,J. Collins
4,Hawks,PG,T. Young
5,Hawks,C,A. Len
6,Celtics,SF,G. Hayward
7,Celtics,PF,J. Tatum
8,Celtics,C,E. Kanter
9,Celtics,PG,K. Walker
10,Celtics,SG,J. Brown
11,Nets,PG,K. Irving
12,Nets,SF,T. Prince
13,Nets,PF,R. Kurucs
14,Nets,C,D. Jordan
15,Nets,SG,C. LeVert
16,Hornets,PG,T. Rozier
17,Hornets,SG,N. Batum
18,Hornets,SF,D. Bacon
19,Hornets,PF,M. Bridges
20,Hornets,C,C. Zeller
21,Bulls,PG,T. Satoransky
22,Bulls,SG,Z. LaVine
23,Bulls,PF,L. Markkanen
24,Bulls,SF,O. Porter
25,Bulls,C,W. Carter Jr.
26,Cavaliers,PG,C. Sexton
27,Cavaliers,SG,B. Knight
28,Cavaliers,SF,C. Osman
29,Cavaliers,PF,K. Love
30,Cavaliers,C,T. Thompson
31,Mavericks,PG,D. Wright
32,Mavericks,SG,L. Doncic
33,Mavericks,SF,J. Jackson
34,Mavericks,PF,K. Porzingis
35,Mavericks,C,D. Powell
36,Nuggets,PG,J. Murray
37,Nuggets,SG,G. Harris
38,Nuggets,SF,W. Barton
39,Nuggets,PF,P. Millsap
40,Nuggets,C,N. Jokic
41,Pistons,SG,B. Brown
42,Pistons,SF,T. Snell
43,Pistons,PF,B. Griffin
44,Pistons,C,A. Drummond
45,Pistons,PG,R. Jackson
46,Warriors,PF,D. Green
47,Warriors,PG,S. Curry
48,Warriors,SG,D. Russell
49,Warriors,SF,G. Robinson III
50,Warriors,C,W. Cauley-Stein
51,Rockets,PF,P. Tucker
52,Rockets,C,C. Capela
53,Rockets,PG,R. Westbrook
54,Rockets,SG,J. Harden
55,Rockets,SF,E. Gordon
56,Pacers,PG,M. Brogdon
57,Pacers,SG,V. Oladipo
58,Pacers,SF,T. Warren
59,Pacers,PF,D. Sabonis
60,Pacers,C,M. Turner
61,Clippers,PG,P. Beverley
62,Clippers,SG,L. Shamet
63,Clippers,SF,K. Leonard
64,Clippers,PF,P. George
65,Clippers,C,I. Zubac
66,Lakers,PG,R. Rondo
67,Lakers,SG,D. Green
68,Lakers,SF,L. James
69,Lakers,PF,A. Davis
70,Lakers,C,D. Howard
71,Grizzlies,PG,J. Morant
72,Grizzlies,SF,K. Anderson
73,Grizzlies,PF,J. Jackson Jr.
74,Grizzlies,C,J. Valanciunas
75,Grizzlies,SG,D. Brooks
76,Heat,PG,G. Dragic
77,Heat,SG,D. Waiters
78,Heat,SF,J. Butler
79,Heat,PF,J. Johnson
80,Heat,C,B. Adebayo
81,Bucks,PG,E. Bledsoe
82,Bucks,SG,W. Matthews
83,Bucks,SF,K. Middleton
84,Bucks,PF,G. Antetokounmpo
85,Bucks,C,B. Lopez
86,Timberwolves,PG,J. Teague
87,Timberwolves,SG,J. Culver
88,Timberwolves,SF,A. Wiggins
89,Timberwolves,PF,R. Covington
90,Timberwolves,C,K. Towns
91,Pelicans,PG,L. Ball
92,Pelicans,SG,J. Holiday
93,Pelicans,SF,B. Ingram
94,Pelicans,PF,Z. Williamson
95,Pelicans,C,D. Favors
96,Knicks,PG,D. Smith Jr.
97,Knicks,SG,R. Barrett
98,Knicks,SF,K. Knox
99,Knicks,PF,J. Randle
100,Knicks,C,M. Robinson
101,Thunder,PG,C. Paul
102,Thunder,SG,S. Gilgeous-Alexander
103,Thunder,SF,D. Gallinari
104,Thunder,PF,M. Muscala
105,Thunder,C,S. Adams
106,Magic,PG,D. Augustin
107,Magic,SG,E. Fournier
108,Magic,SF,J. Isaac
109,Magic,PF,A. Gordon
110,Magic,C,N. Vucevic
111,76ers,SF,T. Harris
112,76ers,PF,A. Horford
113,76ers,C,J. Embiid
114,76ers,PG,B. Simmons
115,76ers,SG,J. Richardson
116,Suns,PG,R. Rubio
117,Suns,SG,D. Booker
118,Suns,SF,K. Oubre Jr.
119,Suns,PF,D. Saric
120,Suns,C,D. Ayton
121,Trail Blazers,PF,Z. Collins
122,Trail Blazers,C,H. Whiteside
123,Trail Blazers,SG,C. McCollum
124,Trail Blazers,PG,D. Lillard
125,Trail Blazers,SF,K. Bazemore
126,Kings,PF,M. Bagley III
127,Kings,PG,D. Fox
128,Kings,C,D. Dedmon
129,Kings,SG,B. Hield
130,Kings,SF,H. Barnes
131,Spurs,PG,D. Murray
132,Spurs,SG,B. Forbes
133,Spurs,SF,D. DeRozan
134,Spurs,PF,R. Gay
135,Spurs,C,L. Aldridge
136,Raptors,PG,K. Lowry
137,Raptors,SG,N. Powell
138,Raptors,SF,O. Anunoby
139,Raptors,PF,P. Siakam
140,Raptors,C,M. Gasol
141,Jazz,PG,M. Conley
142,Jazz,SG,D. Mitchell
143,Jazz,SF,J. Ingles
144,Jazz,PF,B. Bogdanovic
145,Jazz,C,R. Gobert
146,Wizards,SF,T. Brown Jr.
147,Wizards,PG,I. Smith
148,Wizards,SG,B. Beal
149,Wizards,PF,D. Bertans
150,Wizards,C,T. Bryant
